RYTT34  ;331.71;03/09/2020;
S1OU34  ;207.9;03/09/2020;
S1PO34  ;346.33;03/09/2020;
SANB3   ;13.72;03/09/2020;
SANB4   ;15.05;03/09/2020;
SANB11  ;28.81;03/09/2020;
SAPR3   ;5.8;03/09/2020;
SAPR4   ;5.46;03/09/2020;
SAPR11  ;27.69;03/09/2020;
SBSP3   ;50.29;03/09/2020;
SBUB34  ;454.7;03/09/2020;
SCAR3   ;39.16;03/09/2020;
SCHW34  ;190.0;03/09/2020;
SEER3   ;15.41;03/09/2020;
SGPS3   ;7.63;03/09/2020;
SHOW3   ;2.94;03/09/2020;
SHUL4   ;11.77;03/09/2020;
SLCE3   ;25.52;03/09/2020;
SMLS3   ;15.01;03/09/2020;
SMTO3   ;24.23;03/09/2020;
SNEC34  ;420.0;03/09/2020;
SOMA3   ;10.89;03/09/2020;
SOND5   ;55.0;03/09/2020;
SOND6   ;36.0;03/09/2020;
SPGI34  ;490.0;03/09/2020;
SPRI3   ;10.78;03/09/2020;
SQIA3   ;27.39;03/09/2020;
SSFO34  ;710.86;03/09/2020;
STBP3   ;5.51;03/09/2020;
SULA3   ;18.1;03/09/2020;
SULA4   ;12.99;03/09/2020;
SULA11  ;44.25;03/09/2020;
SUZB3   ;48.41;03/09/2020;
T1MU34  ;304.1;03/09/2020;
T1OW34  ;332.43;03/09/2020;
T1TW34  ;218.72;03/09/2020;
TAEE3   ;9.55;03/09/2020;
TAEE4   ;9.54;03/09/2020;
TAEE11  ;28.67;03/09/2020;
TASA3   ;6.1;03/09/2020;
TASA4   ;7.0;03/09/2020;
TCSA3   ;11.73;03/09/2020;
TECN3   ;1.11;03/09/2020;
TELB3   ;144.97;03/09/2020;
TELB4   ;36.5;03/09/2020;
TEND3   ;30.71;03/09/2020;
TESA3   ;18.04;03/09/2020;
TEXA34  ;772.28;03/09/2020;
TGMA3   ;26.57;03/09/2020;
TGTB34  ;771.27;03/09/2020;
TIET3   ;3.03;03/09/2020;
TIET4   ;3.02;03/09/2020;
TIET11  ;15.09;03/09/2020;
TIMP3   ;15.06;03/09/2020;
TLNC34  ;20.92;03/09/2020;
TMCO34  ;700.0;03/09/2020;
TMOS34  ;577.96;03/09/2020;
TOTS3   ;29.86;03/09/2020;
TPIS3   ;1.26;03/09/2020;
TRIS3   ;12.58;03/09/2020;
TRPL3   ;26.23;03/09/2020;
TRPL4   ;21.45;03/09/2020;
